,season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,name
286,2021/22,220566,55,55,127,2884,7,2,17,22,0,0,0,5,0,0,9,618,758.2,541.4,444.0,174.8,Rodrigo Hernandez
287,2021/22,244851,45,45,9,121,0,1,1,0,0,0,0,0,0,0,0,29,11.0,30.8,60.0,10.2,Cole Palmer
288,2021/22,432714,45,44,2,18,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,James McAtee
289,2021/22,439510,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Luke Mbete-Tabu
290,2021/22,447880,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Josh Wilson-Esbrand
291,2021/22,463034,45,45,1,8,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,2.0,0.1,Liam Delap
292,2021/22,155405,50,47,39,1594,0,1,3,25,0,0,0,4,0,0,1,209,270.8,151.0,99.0,52.4,Kalvin Phillips
293,2021/22,17601,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Scott Carson
294,2021/22,14937,125,122,159,2454,18,3,8,41,0,0,0,8,0,0,29,608,800.4,421.9,1535.0,274.6,Cristiano Ronaldo dos Santos Aveiro
295,2021/22,51940,50,50,132,3420,0,0,8,57,0,2,0,0,0,127,7,667,965.8,0.3,0.0,96.1,David De Gea Quintana
296,2021/22,76359,45,45,4,161,0,0,0,3,0,0,0,0,0,0,0,41,53.0,1.6,0.0,5.5,Phil Jones
297,2021/22,90152,55,55,75,1829,1,1,5,22,0,0,0,0,0,0,9,378,402.4,60.0,119.0,58.5,Raphaël Varane
298,2021/22,95658,55,54,69,2513,1,0,7,43,1,0,0,7,1,0,4,451,571.0,77.2,316.0,96.5,Harry Maguire
299,2021/22,101582,50,49,93,2026,4,5,7,31,1,0,0,5,0,0,8,426,587.4,409.1,201.0,119.8,Frederico Rodrigues de Paula Santos
300,2021/22,106760,55,50,46,1600,0,3,3,24,0,0,0,8,0,0,3,276,292.0,586.1,54.0,93.3,Luke Shaw
301,2021/22,141746,120,116,151,3110,10,7,8,54,0,0,2,10,0,0,15,626,906.6,1291.9,910.0,311.2,Bruno Borges Fernandes
302,2021/22,152590,50,49,67,1658,0,4,5,26,0,0,0,1,0,0,6,345,399.6,455.6,103.0,95.9,Alex Telles
303,2021/22,176297,95,94,63,1224,4,2,2,28,0,0,0,2,0,0,0,171,233.8,155.4,406.0,79.4,Marcus Rashford
304,2021/22,180184,60,57,31,550,2,0,2,14,0,0,0,1,0,0,1,119,156.8,77.6,118.0,35.3,Donny van de Beek
305,2021/22,184667,50,48,66,2353,0,2,6,47,0,0,0,4,0,0,4,471,449.0,76.3,66.0,59.3,Victor Lindelöf
306,2021/22,195851,55,54,68,2386,1,2,8,37,0,0,0,9,0,0,2,346,478.4,325.1,297.0,110.1,Scott McTominay
307,2021/22,197365,50,49,2,216,0,0,0,4,1,0,0,1,0,0,0,22,36.0,1.0,0.0,3.7,Eric Bailly
308,2021/22,209243,95,89,91,1894,3,4,6,28,0,0,0,0,0,0,9,362,363.2,596.7,549.0,150.9,Jadon Sancho
309,2021/22,214590,55,51,41,1793,0,0,3,35,0,0,0,2,0,0,3,329,371.8,237.0,123.0,73.3,Aaron Wan-Bissaka
310,2021/22,216051,45,42,54,1797,0,0,5,29,0,0,0,4,0,0,5,382,411.0,286.1,126.0,82.2,Diogo Dalot Teixeira
311,2021/22,232937,40,39,36,2119,0,1,2,52,0,0,0,8,0,0,4,346,371.0,289.3,80.0,74.5,Brandon Williams
312,2021/22,449434,50,48,59,1208,2,3,4,17,0,0,0,0,0,0,2,193,206.2,172.1,303.0,68.2,Anthony Elanga
313,2021/22,148225,80,76,14,207,1,0,0,3,0,0,0,0,0,0,2,40,40.4,17.5,91.0,14.6,Anthony Martial
314,2020/21,488404,55,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Facundo Pellistri Rebollo
315,2021/22,21205,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Tom Heaton
316,2021/22,80607,55,56,43,938,1,4,4,10,0,0,0,1,0,0,2,221,285.6,482.4,192.0,95.8,Christian Eriksen
317,2021/22,50232,55,53,63,1981,2,1,6,30,0,0,0,5,1,0,6,292,320.8,246.7,156.0,72.6,Jonjo Shelvey
318,2021/22,56983,50,49,20,1333,0,2,0,37,0,0,0,5,0,0,0,207,226.0,420.4,92.0,74.0,Matt Ritchie
319,2021/22,57145,45,43,11,521,0,1,0,12,0,0,0,0,0,0,0,91,129.4,13.8,69.0,21.2,Federico Fernández
320,2021/22,58845,45,44,14,1012,0,1,0,27,0,0,0,2,1,0,1,131,189.2,49.9,95.0,33.1,Ciaran Clark
321,2021/22,59735,45,45,20,720,0,0,0,15,0,0,0,1,0,24,3,110,157.0,0.0,0.0,15.8,Karl Darlow
